run_id,sample,sample_size_bytes,iteration,metric,value,unit,environment,exe_hash
run_sample_standard.msg_1,sample_standard.msg,9216,1,launch_and_open_ms,28.06,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_1,sample_standard.msg,9216,1,process_exit_ms,9.61,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_2,sample_standard.msg,9216,2,launch_and_open_ms,13.88,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_2,sample_standard.msg,9216,2,process_exit_ms,7.06,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_3,sample_standard.msg,9216,3,launch_and_open_ms,9.3,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_3,sample_standard.msg,9216,3,process_exit_ms,5.81,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_4,sample_standard.msg,9216,4,launch_and_open_ms,8.25,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_4,sample_standard.msg,9216,4,process_exit_ms,19.36,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_5,sample_standard.msg,9216,5,launch_and_open_ms,10.21,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_standard.msg_5,sample_standard.msg,9216,5,process_exit_ms,5.83,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
run_sample_inline_image.msg_1,sample_inline_image.msg,11264,1,launch_and_open_ms,12.46,ms,Windows 10 10.0.19045 (AMD64),796ba8869aa9a23b898ef6b2920eef37e86e42e09a900df504f9ec41c59b90f6
